,stationgroup,stationcode,stationname,targetlongitude,targetlatitude
33185,EN,EN-010,"EN-010-South Carlsbad State Beach, San Diego",-117.31900024414101,33.100601
33804,EN,EN-020,"EN-020-South Carlsbad State Beach, San Diego",-117.322998046875,33.110901
35383,EN,EN-030,"EN-030-South Carlsbad State Beach, San Diego",-117.325996398926,33.1157
37021,EN,EN-040,"EN-040-South Carlsbad State Beach, San Diego",-117.33000183105499,33.1245
38713,EN,EN-050,"EN-050-South Carlsbad State Beach, San Diego",-117.33300018310499,33.128201000000004
40283,FM,FM-010,"FM-010-Dog Beach, O.B., San Diego",-117.25,32.7565
43167,FM,FM-020,"FM-020-Pacific Beach, San Diego",-117.25700378418001,32.796101
43895,FM,FM-030,"FM-030-Tourmaline Surfing Park, San Diego",-117.26599884033199,32.8078
45466,FM,FM-050,"FM-050-WindanSea Beach, San Diego",-117.28099822998001,32.8298
45809,FM,FM-060,"FM-060-Whispering Sands  Nicholson Pt., San Diego",-117.282997131348,32.8395
46563,FM,FM-070,"FM-070-La Jolla Cove, San Diego",-117.272003173828,32.8503
47465,FM,FM-080,"FM-080-La Jolla Shores Beach, San Diego",-117.26000213623001,32.854698
49100,FM,FM-090,"FM-090-Torrey Pines City Beach, San Diego",-117.25099945068399,32.8778
49104,FM,FM-100,"FM-100-Torrey Pines State Beach, San Diego",-117.261001586914,32.934601
51897,IB,IB-010,"IB-010-Border Field State Park, San Diego",-117.12400054931601,32.534401
53658,IB,IB-020,"IB-020-Border Field State Park, San Diego",-117.125,32.5434
55171,IB,IB-030,"IB-030-Tijuana Slough National Wildlife Refuge, San Diego",-117.12899780273399,32.554001
58103,IB,IB-040,"IB-040-Tijuana Slough National Wildlife Refuge, San Diego",-117.13200378418001,32.561001
60027,IB,IB-050,"IB-050-Imperial Beach municipal beach, other, San Diego",-117.133003234863,32.566601
62476,IB,IB-060,"IB-060-north Imperial Beach, San Diego",-117.133003234863,32.586601
64463,IB,IB-070,"IB-070-Silver Strand State Beach, San Diego",-117.14099884033199,32.629601
66325,IB,IB-080,"IB-080-Coronado City beaches, San Diego",-117.177001953125,32.6777
66512,FM,FM-040,"FM-040-La Jolla Shores Beach, San Diego",-117.273002624512,32.8167
69849,MB,MB-010,"MB-010-Mission Bay, San Diego",-117.21099853515601,32.768799
70531,MB,MB-015,"MB-015-Mission Bay, San Diego",-117.218002319336,32.777
70553,MB,MB-020,"MB-020-Mission Bay, San Diego",-117.22200012206999,32.7724
70916,MB,MB-030,"MB-030-Mission Bay, San Diego",-117.209999084473,32.770599
71558,MB,MB-031,"MB-031-Mission Bay, San Diego",-117.209999084473,32.7715
72460,MB,MB-040,"MB-040-Mission Bay, San Diego",-117.21099853515601,32.776501
73098,MB,MB-041,"MB-041-Mission Bay, San Diego",-117.21099853515601,32.775799
73384,MB,MB-042,"MB-042-Mission Bay, north pacific passage, San Diego",-117.21099853515601,32.784
73641,MB,MB-050,"MB-050-Mission Bay, Leisure Lagoon, San Diego",-117.209999084473,32.7826
74656,MB,MB-051,"MB-051-Mission Bay, Leisure Lagoon, San Diego",-117.209999084473,32.7827
74969,MB,MB-053,"MB-053-Mission Bay, Leisure Lagoon, San Diego",-117.209999084473,32.785
75637,MB,MB-058,"MB-058-Mission Bay, San Diego",-117.209999084473,32.788101
75738,MB,MB-060,"MB-060-Mission Bay, Visitor's Center, San Diego",-117.21099853515601,32.7892
77502,MB,MB-061,"MB-061-Mission Bay, Visitor's Center, San Diego",-117.21099853515601,32.7892
77595,MB,MB-070,"MB-070-Mission Bay, De Anza Cove, San Diego",-117.212997436523,32.796397999999996
78897,MB,MB-071,"MB-071-Mission Bay, De Anza Cove, San Diego",-117.212997436523,32.7967
78952,MB,MB-080,"MB-080-Mission Bay, Campland On The Bay, San Diego",-117.222999572754,32.7943
80656,MB,MB-085,"MB-085-Mission Bay, San Diego",-117.218002319336,32.787898999999996
80705,MB,MB-090,"MB-090-Mission Bay, Crown Point Shores, San Diego",-117.22899627685499,32.790901
81960,MB,MB-091,"MB-091-Mission Bay, Crown Point Shores, San Diego",-117.231002807617,32.7892
81994,MB,MB-100,"MB-100-Mission Bay, San Diego",-117.23300170898399,32.781101
82911,MB,MB-101,"MB-101-Mission Bay, San Diego",-117.235000610352,32.779099
82929,MB,MB-110,"MB-110-Mission Bay, Riviera Shores, San Diego",-117.23999786376999,32.781601
83361,MB,MB-111,"MB-111-Mission Bay, Riviera Shores, San Diego",-117.240997314453,32.785301000000004
83526,MB,MB-120,"MB-120-Mission Bay, Fanuel Park, San Diego",-117.241996765137,32.789101
84561,MB,MB-130,"MB-130-Mission Bay, Sail Bay, San Diego",-117.25099945068399,32.789299
85296,MB,MB-131,"MB-131-Mission Bay, Sail Bay, San Diego",-117.25099945068399,32.783198999999996
85511,MB,MB-132,"MB-132-Mission Bay, Sail Bay, San Diego",-117.251998901367,32.787399
85533,MB,MB-135,"MB-135-Mission Bay, Sail Bay, San Diego",-117.24900054931601,32.7826
86122,MB,MB-140,"MB-140-Mission Bay, San Juan Cove, San Diego",-117.25099945068399,32.779701
86210,MB,MB-150,"MB-150-Mission Bay, Santa Barbara Cove, San Diego",-117.24900054931601,32.773102
86646,MB,MB-151,"MB-151-Mission Bay, Santa Barbara Cove, San Diego",-117.248001098633,32.777
86677,MB,MB-160,"MB-160-Mission Bay, Bahia Point, San Diego",-117.24600219726601,32.776199
87924,MB,MB-161,"MB-161-Mission Bay, Bahia Point, San Diego",-117.24500274658199,32.775501
88066,MB,MB-170,"MB-170-Mission Bay, Mariners Basin, San Diego",-117.248001098633,32.7696
88846,MB,MB-173,"MB-173-Mission Bay, Mariners Basin, San Diego",-117.25,32.77
89797,MB,MB-180,"MB-180-Mission Bay, Quivera Basin, San Diego",-117.23999786376999,32.7607
90013,MB,MB-190,"MB-190-Mission Bay, Sea World, San Diego",-117.232002258301,32.7672
90325,MB,MB-191,"MB-191-Mission Bay, Sea World, San Diego",-117.22899627685499,32.767101000000004
90670,MB,MB-192,"MB-192-Mission Bay, Sea World, San Diego",-117.224998474121,32.766498999999996
90840,MB,MB-193,"MB-193-Mission Bay, Sea World, San Diego",-117.217002868652,32.765202
91007,MB,MB-200,"MB-200-Mission Bay, Vacation Isle, San Diego",-117.23699951171899,32.779598
91306,MB,MB-203,"MB-203-Mission Bay, Vacation Isle, San Diego",-117.23300170898399,32.775902
91993,MB,MB-205,"MB-205-Mission Bay, Vacation Isle, San Diego",-117.237998962402,32.776001
92495,MB,MB-223,"MB-223-Mission Bay, Ventura Cove, San Diego",-117.24500274658199,32.770901
92961,MB,MB-225,"MB-225-Mission Bay, Mariners Basin, San Diego",-117.24900054931601,32.762501
93502,OC,OC-010,"OC-010-Oceanside municipal beach, other, San Diego",-117.36199951171899,33.1684
95131,OC,OC-020,"OC-020-Oceanside municipal beach, other, San Diego",-117.365997314453,33.172901
96798,OC,OC-022,"OC-022-Buccaneer Beach, San Diego",-117.369003295898,33.176701
98682,OC,OC-030,"OC-030-Buccaneer Beach, San Diego",-117.369003295898,33.176601
100222,OC,OC-040,"OC-040-Oceanside municipal beach, other, San Diego",-117.37400054931601,33.1824
101685,OC,OC-050,"OC-050-Oceanside Pier area, San Diego",-117.38200378418001,33.190498
103251,OC,OC-080,"OC-080-Oceanside Pier area, San Diego",-117.38500213623001,33.193901000000004
104283,OC,OC-090,"OC-090-Oceanside Pier area, San Diego",-117.387001037598,33.196602
105256,OC,OC-100,"OC-100-Harbor Beach, San Diego",-117.39199829101601,33.202498999999996
107972,OC,OC-110,"OC-110-Harbor Beach, San Diego",-117.393997192383,33.204399
108960,PL,PL-010,"PL-010-Imperial Beach municipal beach, other, San Diego",-117.133003234863,32.584702
110813,PL,PL-040,"PL-040-non-accessible or restricted access shoreline on Pt. Loma, San Diego",-117.24299621581999,32.665298
112435,PL,PL-050,"PL-050-non-accessible or restricted access shoreline on Pt. Loma, San Diego",-117.248001098633,32.679401
113707,PL,PL-070,"PL-070-Sunset Cliffs Park, San Diego",-117.25700378418001,32.7197
115138,PL,PL-080,"PL-080-Ocean Beach, San Diego",-117.25700378418001,32.732601
116892,PL,PL-090,"PL-090-Ocean Beach, San Diego",-117.25499725341801,32.7467
118495,PL,PL-100,"PL-100-Ocean Beach, San Diego",-117.252998352051,32.749199
120244,PL,PL-110,"PL-110-Ocean Beach, San Diego",-117.252998352051,32.754002
121904,PL,PL-120,"PL-120-Mission Beach, San Diego",-117.25399780273399,32.771301
122701,SC,SC-010,"SC-010-San Onofre State Beach, San Diego",-117.572998046875,33.379002
122737,SC,SC-020,"SC-020-San Onofre State Beach, San Diego",-117.575996398926,33.382999
122794,SE,SE-010,"SE-010-Fletcher Cove, San Diego",-117.275001525879,32.9925
124562,SE,SE-020,"SE-020-Solana Beach City Beaches, San Diego",-117.27799987793001,32.999001
126102,SE,SE-030,"SE-030-Cardiff State Beach, San Diego",-117.278999328613,33.006001
127570,SE,SE-040,"SE-040-Cardiff State Beach, San Diego",-117.28099822998001,33.012699
128981,SE,SE-050,"SE-050-Cardiff State Beach, San Diego",-117.28099822998001,33.013599
130541,SE,SE-060,"SE-060-Cardiff State Beach, San Diego",-117.28399658203101,33.018398
133621,SE,SE-070,"SE-070-San Elijo State Beach, San Diego",-117.28500366210899,33.021599
134958,TJ,TJ-020,"TJ-020-Tijana River, San Diego",-117.063003540039,32.5536
135328,TJ,TJ-030,"TJ-030-Tijana River, San Diego",-117.063003540039,32.553001
190310,OC,OC-035,"OC-035-Oceanside municipal beach, other, San Diego",-117.37400054931601,33.179501
